web-scraper-order,web-scraper-start-url,title,date,time,type,inPerson,link
1684188221-1,https://build.microsoft.com/en-US/sessions,2023 Imagine Cup World Championship,"Tuesday, May 23
11:43 AM - 11:57 AM Eastern Daylight Time",11:43 AM - 11:57 AM Eastern Daylight Time,Interview,DigitalIn-Person,/en-US/sessions/e1a04275-7abd-4d9a-907a-8899b685e40e?source=sessions
1684188221-2,https://build.microsoft.com/en-US/sessions,Microsoft Build opening,"Tuesday, May 23
12:00 PM - 12:15 PM Eastern Daylight Time",12:00 PM - 12:15 PM Eastern Daylight Time,Keynote,DigitalIn-Person,/en-US/sessions/49e81029-20f0-485b-b641-73b7f9622656?source=sessions
1684188221-3,https://build.microsoft.com/en-US/sessions,The era of the AI Copilot,"Tuesday, May 23
12:15 PM - 1:00 PM Eastern Daylight Time",12:15 PM - 1:00 PM Eastern Daylight Time,Keynote,DigitalIn-Person,/en-US/sessions/bb8f9d99-0c47-404f-8212-a85fffd3a59d?source=sessions
1684188221-4,https://build.microsoft.com/en-US/sessions,Next generation AI for developers with the Microsoft Cloud,"Tuesday, May 23
1:00 PM - 2:00 PM Eastern Daylight Time",1:00 PM - 2:00 PM Eastern Daylight Time,Keynote,DigitalIn-Person,/en-US/sessions/b1445158-aff5-44e8-b336-e1550770f028?source=sessions
1684188221-5,https://build.microsoft.com/en-US/sessions,Cloud-native development with .NET 8,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/92aa8923-2720-49a4-81a3-d117f08488fe?source=sessions
1684188221-6,https://build.microsoft.com/en-US/sessions,Getting started with generative AI using Azure OpenAI Service,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/27c0f55d-9c02-4003-bfb3-7e077a12fea2?source=sessions
1684188221-7,https://build.microsoft.com/en-US/sessions,How to build next-gen AI services with NVIDIA AI on Azure Cloud,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,Digital,/en-US/sessions/333590ed-ccbe-4358-a862-27c76fe8105e?source=sessions
1684188221-8,https://build.microsoft.com/en-US/sessions,Inject the power of the cloud and AI into your development workflow,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/01f6a7ae-d371-43d5-9e6c-9ed2cf853d94?source=sessions
1684188221-9,https://build.microsoft.com/en-US/sessions,Secure and observe your APIs no matter where they run,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/d07b6555-129a-478f-9c4f-ff2f5260557b?source=sessions
1684188221-10,https://build.microsoft.com/en-US/sessions,Securing container deployments on Azure Kubernetes Service with open-source tools,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/0301c5a0-34cb-4a5b-ac0f-164b2d4191fa?source=sessions
1684188221-11,https://build.microsoft.com/en-US/sessions,"Achieve more with Azure PaaS: Azure App Service product experts, Q&A","Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/0eca91c3-f7f4-477e-ba6a-d7d0e9b4b95d?source=sessions
1684188221-12,https://build.microsoft.com/en-US/sessions,"Build scalable and secure enterprise apps on OSS databases, Q&A","Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/6a8c5273-b43f-4867-adfc-aef849633214?source=sessions
1684188221-13,https://build.microsoft.com/en-US/sessions,"LEADTOOLS Low-Code Document Viewer, Editor and Medical Viewer Controls","Tuesday, May 23
2:30 PM - 2:45 PM Eastern Daylight Time",2:30 PM - 2:45 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/71a61019-ea68-4d64-9c96-6efaea36357a?source=sessions
